140,1000,play,2023-09-03 10:01:00,desktop,EU,M9N
138,1001,pause,2023-09-03 10:03:05,tablet,APAC,N0O
142,1002,skip,2023-09-03 10:05:10,mobile,US,O1P
139,1003,forward,2023-09-03 10:07:15,desktop,EU,P2Q
141,1004,play,2023-09-03 10:09:20,tablet,APAC,Q3R
143,1005,pause,2023-09-03 10:11:25,mobile,US,R4S
144,1006,skip,2023-09-03 10:13:30,desktop,EU,S5T
140,1007,forward,2023-09-03 10:15:35,tablet,APAC,T6U
138,1008,play,2023-09-03 10:17:40,mobile,US,U7V
142,1009,pause,2023-09-03 10:19:45,desktop,EU,V8W
139,1010,skip,2023-09-03 10:21:50,tablet,APAC,W9X
141,1000,forward,2023-09-03 10:23:55,mobile,US,X0Y
143,1001,play,2023-09-03 10:26:00,desktop,EU,Y1Z
144,1002,pause,2023-09-03 10:28:05,tablet,APAC,Z2A
140,1003,skip,2023-09-03 10:30:10,mobile,US,A3B
138,1004,forward,2023-09-03 10:32:15,desktop,EU,B4C
142,1005,play,2023-09-03 10:34:20,tablet,APAC,C5D
139,1006,pause,2023-09-03 10:36:25,mobile,US,D6E
141,1007,skip,2023-09-03 10:38:30,desktop,EU,E7F
143,1008,forward,2023-09-03 10:40:35,tablet,APAC,F8G
