user_id,content_id,action,timestamp,device,region,session_id
145,1004,skip,2023-09-04 05:07:23,tablet,APAC,S3972
128,1009,forward,2023-09-04 09:17:49,desktop,US,S5205
131,1004,skip,2023-09-04 05:25:06,desktop,EU,S9852
158,1003,pause,2023-09-04 17:37:00,mobile,US,S9951
147,1006,pause,2023-09-04 16:00:57,mobile,APAC,S3600
131,1001,forward,2023-09-04 20:34:35,desktop,EU,S9771
183,1008,skip,2023-09-04 21:59:13,mobile,APAC,S2380
187,1001,play,2023-09-04 20:54:12,mobile,US,S9367
154,1001,pause,2023-09-04 03:42:17,mobile,APAC,S2261
179,1001,skip,2023-09-04 23:22:47,desktop,EU,S4365
131,1000,forward,2023-09-04 16:07:11,tablet,US,S5178
140,1006,pause,2023-09-04 16:08:29,desktop,US,S3134
101,1003,play,2023-09-04 03:00:52,mobile,APAC,S1416
105,1004,play,2023-09-04 15:04:41,desktop,APAC,S4917
153,1008,forward,2023-09-04 05:46:10,desktop,APAC,S6644
123,1009,forward,2023-09-04 09:53:23,tablet,APAC,S7231
194,1004,forward,2023-09-04 10:49:17,desktop,EU,S3331
104,1000,skip,2023-09-04 17:30:12,mobile,EU,S6123
158,1009,pause,2023-09-04 17:38:35,mobile,EU,S3262
109,1000,forward,2023-09-04 20:43:53,desktop,EU,S3285
163,1008,play,2023-09-04 09:56:07,desktop,US,S3053
167,1001,skip,2023-09-04 15:41:17,tablet,EU,S4843
166,1000,pause,2023-09-04 02:00:31,tablet,US,S7307
194,1003,pause,2023-09-04 17:13:15,mobile,EU,S7230
122,1009,pause,2023-09-04 20:13:36,desktop,US,S4514
161,1000,skip,2023-09-04 16:09:08,tablet,US,S1298
128,1006,pause,2023-09-04 02:47:38,mobile,EU,S6134
200,1003,play,2023-09-04 03:33:49,desktop,APAC,S5454
