user_id,content_id,action,timestamp,device,region,session_id
116,1001,skip,2023-09-02 04:06:33,desktop,APAC,SID165
109,1008,play,2023-09-02 22:40:03,tablet,APAC,SID544
113,1001,skip,2023-09-02 03:43:43,mobile,APAC,SID752
106,1009,pause,2023-09-02 06:41:40,mobile,APAC,SID631
114,1001,forward,2023-09-02 14:09:40,desktop,APAC,SID759
103,1000,play,2023-09-02 13:30:17,desktop,EU,SID573
101,1007,play,2023-09-02 00:43:44,mobile,EU,SID955
105,1006,skip,2023-09-02 02:32:52,mobile,APAC,SID553
112,1001,skip,2023-09-02 11:20:18,tablet,US,SID443
105,1007,forward,2023-09-02 18:22:26,tablet,EU,SID890
111,1003,pause,2023-09-02 16:18:56,desktop,EU,SID921
115,1007,skip,2023-09-02 18:41:06,tablet,US,SID871
109,1009,forward,2023-09-02 10:38:04,desktop,EU,SID670
109,1005,pause,2023-09-02 15:43:53,desktop,US,SID299
106,1005,play,2023-09-02 22:19:50,tablet,APAC,SID547
115,1005,forward,2023-09-02 05:36:48,tablet,EU,SID960
100,1000,forward,2023-09-02 10:55:40,desktop,US,SID768
109,1007,skip,2023-09-02 13:35:46,mobile,US,SID970
114,1003,pause,2023-09-02 22:17:14,desktop,US,SID903
106,1006,skip,2023-09-02 11:00:26,desktop,APAC,SID932
118,1004,forward,2023-09-02 18:14:57,mobile,EU,SID456
110,1003,play,2023-09-02 18:25:57,mobile,US,SID329
117,1009,pause,2023-09-02 11:34:54,tablet,APAC,SID516
110,1001,skip,2023-09-02 00:05:57,desktop,US,SID358
112,1006,skip,2023-09-02 17:37:24,mobile,US,SID607
105,1006,forward,2023-09-02 11:05:31,desktop,APAC,SID512
