160,1007,play,2023-09-05 12:01:15,tablet,APAC,U7I
162,1008,pause,2023-09-05 12:03:25,mobile,US,U7I
161,1009,skip,2023-09-05 12:05:35,desktop,EU,O9P
159,1010,forward,2023-09-05 12:07:45,tablet,APAC,O9P
163,1000,play,2023-09-05 12:09:55,mobile,US,I8U
165,1001,pause,2023-09-05 12:12:05,desktop,EU,I8U
160,1002,skip,2023-09-05 12:14:15,tablet,APAC,U7I
162,1003,forward,2023-09-05 12:16:25,mobile,US,U7I
161,1004,play,2023-09-05 12:18:35,desktop,EU,O9P
159,1005,pause,2023-09-05 12:20:45,tablet,APAC,O9P
163,1006,skip,2023-09-05 12:22:55,mobile,US,I8U
165,1007,forward,2023-09-05 12:25:05,desktop,EU,I8U
160,1008,play,2023-09-05 12:27:15,tablet,APAC,U7I
162,1009,pause,2023-09-05 12:29:25,mobile,US,U7I
161,1010,skip,2023-09-05 12:31:35,desktop,EU,O9P
159,1000,forward,2023-09-05 12:33:45,tablet,APAC,O9P
163,1001,play,2023-09-05 12:35:55,mobile,US,I8U
165,1002,pause,2023-09-05 12:38:05,desktop,EU,I8U
160,1003,skip,2023-09-05 12:40:15,tablet,APAC,U7I
162,1004,forward,2023-09-05 12:42:25,mobile,US,U7I
