105,1000,play,2023-09-01 08:01:05,mobile,US,A1B
105,1007,skip,2023-09-01 08:39:45,mobile,US,A1B
112,1001,pause,2023-09-01 08:03:12,desktop,EU,B2C
107,1002,skip,2023-09-01 08:05:30,tablet,APAC,C3D
109,1003,forward,2023-09-01 08:07:45,mobile,US,D4E
103,1004,play,2023-09-01 08:09:55,desktop,EU,E5F
118,1005,pause,2023-09-01 08:11:20,tablet,APAC,F6G
120,1006,skip,2023-09-01 08:13:33,mobile,US,G7H
107,1007,forward,2023-09-01 08:15:47,desktop,EU,H8I
115,1008,play,2023-09-01 08:18:05,tablet,APAC,I9J
108,1009,pause,2023-09-01 08:20:15,mobile,US,J0K
106,1010,skip,2023-09-01 08:22:25,desktop,EU,K1L
110,1000,forward,2023-09-01 08:24:35,tablet,APAC,L2M
117,1001,play,2023-09-01 08:26:45,mobile,US,M3N
119,1002,pause,2023-09-01 08:28:55,desktop,EU,N4O
111,1003,skip,2023-09-01 08:31:05,tablet,APAC,O5P
113,1004,forward,2023-09-01 08:33:15,mobile,US,P6Q
114,1005,play,2023-09-01 08:35:25,desktop,EU,Q7R
116,1006,pause,2023-09-01 08:37:35,tablet,APAC,R8S
